학문기초,PRI4001-01,미적분학및연습1,3,심호진,"월4.0-4.5/12:00-13:00,수4.0-5.5/12:00-14:00",
학문기초,PRI4001-02,미적분학및연습1,3,박장희,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30",
학문기초,PRI4002-01,일반물리학및실험1,4,이원철,"월3.0-4.5/11:00-13:00,월5.5-6.5/13:30-15:00,수4.5-5.5/12:30-14:00",
학문기초,PRI4002-02,일반물리학및실험1,4,오형택,"월7.5-10.0/15:30-18:25,월10.5-12.0/18:25-20:05",
학문기초,PRI4012-01,미적분학및연습2,3,임영빈,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30",
학문기초,PRI4012-02,미적분학및연습2,3,오승익,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30",
학문기초,PRI4012-03,미적분학및연습2,3,조영덕,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30",
학문기초,PRI4012-04,미적분학및연습2,3,심호진,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30",
학문기초,PRI4012-05,미적분학및연습2,3,오승익,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30",
학문기초,PRI4012-06,미적분학및연습2,3,조영덕,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30",
학문기초,PRI4012-07,미적분학및연습2,3,안재욱,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30",
학문기초,PRI4012-08,미적분학및연습2,3,김선영,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30",
학문기초,PRI4012-09,미적분학및연습2,3,연미정,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30",
학문기초,PRI4012-10,미적분학및연습2,3,오형석,수10.0-12.5/18:00-20:30,
학문기초,PRI4012-11,미적분학및연습2,3,임영빈,"화6.0-7.0/14:00-15:30,목6.0-7.0/14:00-15:30",
학문기초,PRI4012-12,미적분학및연습2,3,김선영,"화6.0-7.0/14:00-15:30,목6.0-7.0/14:00-15:30",
학문기초,PRI4012-13,미적분학및연습2,3,박상웅,"화6.0-7.0/14:00-15:30,목6.0-7.0/14:00-15:30",
학문기초,PRI4012-14,미적분학및연습2,3,엄건애,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30",
학문기초,PRI4012-15,미적분학및연습2,3,박정준,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00",
학문기초,PRI4012-16,미적분학및연습2,3,송윤애,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30",
학문기초,PRI4012-17,미적분학및연습2,3,박호,화10.0-12.5/18:00-20:30,
학문기초,PRI4013-01,일반물리학및실험2,4,정권범,"월1.0-2.5/09:00-11:00,월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30",
학문기초,PRI4013-02,일반물리학및실험2,4,손정인,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30,목1.0-2.5/09:00-11:00",
학문기초,PRI4013-03,일반물리학및실험2,4,곽동욱,"월10.0-12.5/18:00-20:30,월13.0-14.5/20:40-22:20",
학문기초,PRI4013-04,일반물리학및실험2,4,유상구,"화10.0-12.5/18:00-20:30,화13.0-14.5/20:40-22:20",
학문기초,PRI4013-05,일반물리학및실험2,4,이동화,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00,금1.0-2.5/09:00-11:00",
학문기초,PRI4013-06,일반물리학및실험2,4,이원철,"화4.0-5.0/12:00-13:30,수1.0-2.5/09:00-11:00,목4.0-5.0/12:00-13:30",
학문기초,PRI4013-07,일반물리학및실험2,4,김선배,"화4.0-5.0/12:00-13:30,수6.0-7.5/14:00-16:00,목4.0-5.0/12:00-13:30",
학문기초,PRI4013-08,일반물리학및실험2,4,김순구,"화1.0-2.5/09:00-11:00,화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00",
학문기초,PRI4013-09,일반물리학및실험2,4,박경원,"화4.0-5.5/12:00-14:00,화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30",
학문기초,PRI4013-10,일반물리학및실험2,4,오형택,"수4.5-5.5/12:30-14:00,수8.0-9.5/16:00-18:00,금4.0-5.0/12:00-13:30",
학문기초,PRI4013-11,일반물리학및실험2,4,류영선,"수10.0-12.5/18:00-20:30,수13.0-14.5/20:40-22:20",
학문기초,PRI4014-01,일반화학및실험2,4,김갑수,"월1.0-2.0/09:00-10:30,월4.0-5.5/12:00-14:00,화2.5-3.5/10:30-12:00",
학문기초,PRI4014-02,일반화학및실험2,4,윤성욱,"월2.0-3.5/10:00-12:00,월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30",
학문기초,PRI4014-03,일반화학및실험2,4,김갑수,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30,목6.0-7.5/14:00-16:00",
학문기초,PRI4014-04,일반화학및실험2,4,김갑수,"월10.0-12.5/18:00-20:30,화5.5-7.0/13:30-15:30",
학문기초,PRI4014-05,일반화학및실험2,4,이길선,"목8.0-10.5/16:00-18:50,금4.0-5.5/12:00-14:00",
학문기초,PRI4015-01,일반생물학및실험2,3,이보영,"화8.0-9.5/16:00-18:00,금6.0-7.5/14:00-16:00",
학문기초,PRI4015-02,일반생물학및실험2,3,정상민,"월10.0-11.5/18:00-19:40,월12.0-13.5/19:40-21:30",
학문기초,PRI4015-03,일반생물학및실험2,3,김병혁,"월6.0-7.5/14:00-16:00,월8.0-9.5/16:00-18:00",
학문기초,PRI4015-04,일반생물학및실험2,3,조선희,"화1.0-2.5/09:00-11:00,목6.5-8.0/14:30-16:30",
